$\beta_{c||}$,$v_t/c$,$n_{spec}$,$\alpha_c$,$\tau_b$,$\alpha_b$,$D_b$,$vv_b$,$vv_e$,case,$k_\perp$,$k_{||}$,$\omega_r / \Omega_p$,$\gamma / \Omega_p$,$P_1$,$P_2$,$P_3$,$P_4$,$P_5$,$Re(E_x)$,$Im(E_x)$,$Re(E_y)$,$Im(E_y)$,$Re(E_z)$,$Im(E_z)$,$Re(B_x)$,$Im(B_x)$,$Re(B_y)$,$Im(B_y)$,$Re(B_z)$,$Im(B_z)$
1.0559165,0.00014249995,3,0.84809941,1.4017988,1.483907,0.081902087,0.89220488,0.067541957,,,,,,,,,,,,,,,,,,,,,,
0.91150576,0.00014602196,3,1.123524,0.98301011,0.69743615,0.088823065,0.87583661,0.071448304,,,,,,,,,,,,,,,,,,,,,,
1.0166098,0.0001437008,3,1.0912958,0.92534083,1.2208929,0.10079128,1.0205634,0.093444377,,,,,,,,,,,,,,,,,,,,,,
0.33397502,7.4699688e-05,3,4.2463737,0.35636145,1.2611341,0.078604452,1.0645051,0.077577852,110.0,0.001,0.9742,0.66854,0.17136,-0.18361,-0.0017806,7.7864e-09,0.0,0.0,1.0,0.0,1.56e-06,-1.0,-0.000226,0.00125,2280.0,8880.0,8880.0,-2280.0,-2.34,-9.12
0.24469776,7.6770702e-05,3,2.4147196,0.23726478,0.3770518,0.06481012,0.78848487,0.047991276,111.0,0.001,0.52871,0.52351,0.021797,-0.044692,0.0048867,3.371e-08,0.0,0.0,1.0,0.0,5.38e-06,-1.0,-0.00075,0.0011,352.0,8450.0,8450.0,-352.0,-0.665,-16.0
0.78107518,0.00014684627,3,0.81560105,1.9108651,1.2281392,0.12286786,0.9640047,0.10548462,,,,,,,,,,,,,,,,,,,,,,
0.65975446,0.00014588897,3,1.2647816,0.83529979,1.0207367,0.078218222,0.70243496,0.050957642,,,,,,,,,,,,,,,,,,,,,,
0.47866577,9.3502378e-05,3,1.8113859,0.581101,1.2067943,0.072787799,0.97937548,0.06644959,114.0,0.001,0.46705,0.41113,0.0075906,-0.017988,-0.00029047,3.1912e-08,0.0,0.0,1.0,0.0,9.2e-06,-1.0,-0.000345,0.00084,167.0,9020.0,9020.0,-167.0,-0.357,-19.3
1.456233,0.00015142358,3,0.49981636,1.4704427,1.2376872,0.092474923,1.0724601,0.090781644,115.0,0.001,0.52871,-0.71832,0.0025343,0.0035299,-3.5959e-07,-6.2303e-08,0.0,0.0,1.0,0.0,9.22e-07,-1.0,0.000198,0.00023,24.3,-6880.0,-6880.0,-24.3,-0.0459,13.0
0.77282393,0.00011511079,3,2.5071957,1.002624,1.9277444,0.057789885,0.95202041,0.052012216,116.0,0.001,0.78237,0.51865,0.084755,-0.14005,-0.001395,1.1113e-08,0.0,0.0,1.0,0.0,3.95e-06,-1.0,-0.000106,0.000863,1320.0,8060.0,8060.0,-1320.0,-1.68,-10.3
0.39158383,0.00014017521,3,0.93170226,0.77291548,1.5447482,0.081884116,0.51879817,0.039265919,,,,,,,,,,,,,,,,,,,,,,
0.56710094,0.00014709411,3,1.5242107,1.8050934,2.2824056,0.08063639,0.68494159,0.051110223,118.0,0.001,0.36447,-0.28582,0.0011028,0.0034444,0.00041232,-6.3561e-08,0.0,0.0,1.0,0.0,1.59e-05,1.0,-0.000214,-0.000759,-27.0,7020.0,-7020.0,-27.1,0.074,-19.3
0.62144101,0.00013516605,3,0.74994111,0.94344062,1.5762795,0.084681109,0.88859636,0.069372922,,,,,,,,,,,,,,,,,,,,,,
0.5709486,0.00019024943,3,0.6088528,1.4276733,1.3414636,0.11474913,0.54344636,0.055940844,,,,,,,,,,,,,,,,,,,,,,
0.89290684,0.0001355625,3,0.71846223,0.92544675,1.8191499,0.083032392,0.89686173,0.068759434,121.0,0.001,0.22195,-0.15607,0.00039166,-0.00070826,0.0032178,-1.3148e-07,0.0,0.0,1.0,0.0,2.19e-05,1.0,-0.000388,-0.000486,-30.8,12400.0,-12400.0,-31.1,0.139,-55.8
1.1339846,0.00015159626,3,1.2763808,1.4505115,0.71895158,0.037349291,0.75825661,0.027300781,,,,,,,,,,,,,,,,,,,,,,
0.58447152,0.00014750303,3,0.93969721,0.79683542,0.7443108,0.10717548,0.55046654,0.053286139,,,,,,,,,,,,,,,,,,,,,,
1.2655544,0.00016045327,3,0.87535959,1.5619642,1.1012863,0.077037968,1.056893,0.075596474,,,,,,,,,,,,,,,,,,,,,,
